MSE,MAE,MAPE,RMSE
0.00123,0.02397,3.94729,0.03508
0.00121,0.02354,3.88811,0.03477
0.00122,0.02368,3.90741,0.03487
0.00118,0.0231,3.8439,0.03442
0.00121,0.02372,3.98125,0.03483
0.00137,0.02644,4.47895,0.03706
0.00122,0.02379,3.9217,0.03494
0.0012,0.02339,3.86878,0.03466
0.00122,0.02388,4.01183,0.03495
0.00154,0.02919,4.73709,0.03921
0.00128,0.02492,4.08494,0.03578
