MSE,MAE,MAPE,RMSE
0.00119,0.02324,3.88638,0.03443
0.00119,0.02339,3.91854,0.03454
0.00118,0.0232,3.87767,0.03441
0.00118,0.02308,3.83615,0.03436
0.00118,0.02308,3.83614,0.03436
0.00119,0.02323,3.84952,0.03448
0.00121,0.02364,3.96966,0.03474
0.00122,0.02382,3.92737,0.03491
0.0012,0.0235,3.94148,0.03463
0.00121,0.02359,3.89577,0.03474
0.00118,0.02317,3.87125,0.03439
