symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MSFT,2016-12-01 00:00:00+00:00,59.2,60.15,58.935,60.11,34542121,55.142820998,56.0277142404,54.8959823567,55.9904555775,34542121,0.0,1.0
MSFT,2016-12-02 00:00:00+00:00,59.25,59.47,58.8,59.08,25515665,55.1893943266,55.3943169722,54.7702343696,55.0310450095,25515665,0.0,1.0
MSFT,2016-12-05 00:00:00+00:00,60.22,60.585,59.56,59.7,23552658,56.0929169003,56.4329021987,55.4781489635,55.6085542835,23552658,0.0,1.0
MSFT,2016-12-06 00:00:00+00:00,59.95,60.46,59.8,60.43,19907035,55.8414209262,56.3164688774,55.7017009406,56.2885248802,19907035,0.0,1.0
MSFT,2016-12-07 00:00:00+00:00,61.37,61.38,59.8,60.01,30808969,57.1641034569,57.1734181226,55.7017009406,55.8973089204,30808969,0.0,1.0
MSFT,2016-12-08 00:00:00+00:00,61.01,61.58,60.84,61.3,21220753,56.8287754914,57.3597114368,56.6704261743,57.0989007969,21220753,0.0,1.0
MSFT,2016-12-09 00:00:00+00:00,61.97,61.99,61.125,61.18,27349356,57.7229833994,57.7416127309,56.935894147,56.9871248084,27349356,0.0,1.0
MSFT,2016-12-12 00:00:00+00:00,62.17,62.3,61.72,61.82,20198081,57.9092767136,58.0303673678,57.4901167567,57.5832634138,20198081,0.0,1.0
MSFT,2016-12-13 00:00:00+00:00,62.98,63.42,62.24,62.5,35718868,58.6637646361,59.0736099273,57.9744793736,58.216660682,35718868,0.0,1.0
MSFT,2016-12-14 00:00:00+00:00,62.68,63.45,62.53,63.0,30352654,58.3843246648,59.1015539244,58.2446046791,58.6823939675,30352654,0.0,1.0
MSFT,2016-12-15 00:00:00+00:00,62.58,63.1535,62.3,62.7,27669868,58.2911780077,58.8253740861,58.0303673678,58.4029539962,27669868,0.0,1.0
MSFT,2016-12-16 00:00:00+00:00,62.3,62.95,62.115,62.95,42453083,58.0303673678,58.6358206389,57.8580460522,58.6358206389,42453083,0.0,1.0
MSFT,2016-12-19 00:00:00+00:00,63.62,63.77,62.42,62.56,34338219,59.2599032414,59.3996232271,58.1421433563,58.2725486763,34338219,0.0,1.0
MSFT,2016-12-20 00:00:00+00:00,63.54,63.8,63.025,63.69,26028379,59.1853859158,59.4275672242,58.7056806318,59.3251059014,26028379,0.0,1.0
MSFT,2016-12-21 00:00:00+00:00,63.54,63.7,63.12,63.43,17096304,59.1853859158,59.3344205671,58.794169956,59.082924593,17096304,0.0,1.0
MSFT,2016-12-22 00:00:00+00:00,63.55,64.1,63.405,63.84,22176585,59.1947005815,59.7070071955,59.0596379287,59.464825887,22176585,0.0,1.0
MSFT,2016-12-23 00:00:00+00:00,63.24,63.54,62.8,63.45,12403819,58.9059459445,59.1853859158,58.4961006533,59.1015539244,12403819,0.0,1.0
MSFT,2016-12-27 00:00:00+00:00,63.28,64.07,63.21,63.21,11763173,58.9432046073,59.6790631984,58.8780019474,58.8780019474,11763173,0.0,1.0
MSFT,2016-12-28 00:00:00+00:00,62.99,63.4,62.83,63.4,14653348,58.6730793018,59.0549805958,58.5240446504,59.0549805958,14653348,0.0,1.0
MSFT,2016-12-29 00:00:00+00:00,62.9,63.2,62.73,62.86,10250582,58.5892473104,58.8686872817,58.4308979933,58.5519886475,10250582,0.0,1.0
MSFT,2016-12-30 00:00:00+00:00,62.14,62.99,62.03,62.96,25579908,57.8813327165,58.6730793018,57.7788713937,58.6451353046,25579908,0.0,1.0
MSFT,2017-01-03 00:00:00+00:00,62.58,62.84,62.125,62.79,20694101,58.2911780077,58.5333593161,57.8673607179,58.4867859876,20694101,0.0,1.0
MSFT,2017-01-04 00:00:00+00:00,62.3,62.75,62.12,62.48,21339969,58.0303673678,58.4495273247,57.8627033851,58.1980313506,21339969,0.0,1.0
MSFT,2017-01-05 00:00:00+00:00,62.3,62.66,62.03,62.19,24875968,58.0303673678,58.3656953334,57.7788713937,57.927906045,24875968,0.0,1.0
MSFT,2017-01-06 00:00:00+00:00,62.84,63.15,62.04,62.3,19922919,58.5333593161,58.8221139531,57.7881860594,58.0303673678,19922919,0.0,1.0
MSFT,2017-01-09 00:00:00+00:00,62.64,63.08,62.54,62.76,20382730,58.3470660019,58.7569112932,58.2539193449,58.4588419905,20382730,0.0,1.0
MSFT,2017-01-10 00:00:00+00:00,62.62,63.07,62.28,62.73,18593004,58.3284366705,58.7475966274,58.0117380364,58.4308979933,18593004,0.0,1.0
MSFT,2017-01-11 00:00:00+00:00,63.19,63.23,62.43,62.61,21517335,58.859372616,58.8966312788,58.1514580221,58.3191220048,21517335,0.0,1.0
MSFT,2017-01-12 00:00:00+00:00,62.61,63.4,61.95,63.06,20968223,58.3191220048,59.0549805958,57.704354068,58.7382819617,20968223,0.0,1.0
MSFT,2017-01-13 00:00:00+00:00,62.7,62.865,62.35,62.62,19422310,58.4029539962,58.5566459804,58.0769406964,58.3284366705,19422310,0.0,1.0
MSFT,2017-01-17 00:00:00+00:00,62.53,62.7,62.03,62.68,20663983,58.2446046791,58.4029539962,57.7788713937,58.3843246648,20663983,0.0,1.0
MSFT,2017-01-18 00:00:00+00:00,62.5,62.7,62.12,62.67,19670102,58.216660682,58.4029539962,57.8627033851,58.3750099991,19670102,0.0,1.0
MSFT,2017-01-19 00:00:00+00:00,62.3,62.98,62.195,62.24,18451655,58.0303673678,58.6637646361,57.9325633779,57.9744793736,18451655,0.0,1.0
MSFT,2017-01-20 00:00:00+00:00,62.74,62.82,62.37,62.67,30213462,58.440212659,58.5147299847,58.0955700278,58.3750099991,30213462,0.0,1.0
MSFT,2017-01-23 00:00:00+00:00,62.96,63.1159,62.57,62.7,23097581,58.6451353046,58.790350943,58.281863342,58.4029539962,23097581,0.0,1.0
MSFT,2017-01-24 00:00:00+00:00,63.52,63.735,62.94,63.2,24672940,59.1667565844,59.3670218971,58.6265059732,58.8686872817,24672940,0.0,1.0
MSFT,2017-01-25 00:00:00+00:00,63.68,64.1,63.45,63.95,24654933,59.3157912357,59.7070071955,59.1015539244,59.5672872098,24654933,0.0,1.0
MSFT,2017-01-26 00:00:00+00:00,64.27,64.535,63.55,64.12,43554645,59.8653565125,60.1121951538,59.1947005815,59.7256365269,43554645,0.0,1.0
MSFT,2017-01-27 00:00:00+00:00,65.78,65.91,64.89,65.39,44817972,61.2718710346,61.3929616888,60.4428657865,60.908599072,44817972,0.0,1.0
MSFT,2017-01-30 00:00:00+00:00,65.13,65.79,64.8,65.69,31651445,60.6664177635,61.2811857003,60.3590337951,61.1880390432,31651445,0.0,1.0
MSFT,2017-01-31 00:00:00+00:00,64.65,65.15,64.26,64.86,25270549,60.2193138095,60.6850470949,59.8560418468,60.4149217894,25270549,0.0,1.0
MSFT,2017-02-01 00:00:00+00:00,63.58,64.62,63.47,64.355,39671528,59.2226445786,60.1913698124,59.1201832558,59.9445311711,39671528,0.0,1.0
MSFT,2017-02-02 00:00:00+00:00,63.17,63.41,62.75,63.25,45827013,58.8407432845,59.0642952616,58.4495273247,58.9152606102,45827013,0.0,1.0
MSFT,2017-02-03 00:00:00+00:00,63.68,63.7,63.07,63.5,30301759,59.3157912357,59.3344205671,58.7475966274,59.1481272529,30301759,0.0,1.0
MSFT,2017-02-06 00:00:00+00:00,63.64,63.65,63.14,63.5,19796360,59.2785325729,59.2878472386,58.8127992874,59.1481272529,19796360,0.0,1.0
MSFT,2017-02-07 00:00:00+00:00,63.43,63.78,63.23,63.74,20277226,59.082924593,59.4089378928,58.8966312788,59.37167923,20277226,0.0,1.0
MSFT,2017-02-08 00:00:00+00:00,63.34,63.81,63.22,63.57,18096358,58.9990926016,59.4368818899,58.8873166131,59.2133299129,18096358,0.0,1.0
MSFT,2017-02-09 00:00:00+00:00,64.06,64.435,63.32,63.52,22644443,59.6697485326,60.0190484967,58.9804632702,59.1667565844,22644443,0.0,1.0
MSFT,2017-02-10 00:00:00+00:00,64.0,64.3,63.975,64.25,18170729,59.6138605384,59.8933005097,59.5905738741,59.8467271811,18170729,0.0,1.0
MSFT,2017-02-13 00:00:00+00:00,64.72,64.86,64.13,64.24,22920101,60.2845164694,60.4149217894,59.7349511926,59.8374125154,22920101,0.0,1.0
MSFT,2017-02-14 00:00:00+00:00,64.57,64.72,64.02,64.41,23108426,60.5080684465,60.6486323348,59.9926675227,60.3581336323,23108426,0.39,1.0
MSFT,2017-02-15 00:00:00+00:00,64.53,64.57,64.155,64.5,17005157,60.4705847429,60.5080684465,60.1191750222,60.4424719653,17005157,0.0,1.0
MSFT,2017-02-16 00:00:00+00:00,64.52,65.24,64.44,64.74,20546345,60.461213817,61.1359204808,60.3862464099,60.6673741865,20546345,0.0,1.0
MSFT,2017-02-17 00:00:00+00:00,64.62,64.69,64.3,64.47,21248818,60.5549230759,60.6205195571,60.2550534475,60.4143591876,21248818,0.0,1.0
MSFT,2017-02-21 00:00:00+00:00,64.49,64.95,64.45,64.61,20655869,60.4331010394,60.8641636301,60.3956173358,60.54555215,20655869,0.0,1.0
MSFT,2017-02-22 00:00:00+00:00,64.36,64.39,64.05,64.33,19292651,60.3112790029,60.3393917805,60.0207803004,60.2831662252,19292651,0.0,1.0
MSFT,2017-02-23 00:00:00+00:00,64.62,64.7285,64.195,64.42,20273128,60.5549230759,60.6565976218,60.1566587257,60.3675045582,20273128,0.0,1.0
MSFT,2017-02-24 00:00:00+00:00,64.62,64.8,64.135,64.53,21796800,60.5549230759,60.7235997418,60.1004331704,60.4705847429,21796800,0.0,1.0
MSFT,2017-02-27 00:00:00+00:00,64.23,64.54,64.045,64.54,15871507,60.1894569663,60.4799556688,60.0160948374,60.4799556688,15871507,0.0,1.0
MSFT,2017-02-28 00:00:00+00:00,63.98,64.2,63.76,64.08,23239825,59.9551838192,60.1613441887,59.7490234497,60.048893078,23239825,0.0,1.0
MSFT,2017-03-01 00:00:00+00:00,64.94,64.99,64.0218,64.13,26937459,60.8547927043,60.9016473337,59.9943542894,60.0957477075,26937459,0.0,1.0
MSFT,2017-03-02 00:00:00+00:00,64.01,64.75,63.88,64.69,24539597,59.9832965968,60.6767451124,59.8614745603,60.6205195571,24539597,0.0,1.0
MSFT,2017-03-03 00:00:00+00:00,64.25,64.28,63.62,63.99,18139405,60.2081988181,60.2363115958,59.6178304873,59.9645547451,18139405,0.0,1.0
MSFT,2017-03-06 00:00:00+00:00,64.27,64.56,63.81,63.97,18750255,60.2269406699,60.4986975206,59.7958780791,59.9458128933,18750255,0.0,1.0
MSFT,2017-03-07 00:00:00+00:00,64.4,64.775,64.19,64.19,18520987,60.3487627064,60.7001724271,60.1519732628,60.1519732628,18520987,0.0,1.0
MSFT,2017-03-08 00:00:00+00:00,64.99,65.085,64.25,64.26,21510907,60.9016473337,60.9906711296,60.2081988181,60.217569744,21510907,0.0,1.0
MSFT,2017-03-09 00:00:00+00:00,64.73,65.2,64.48,65.19,19846832,60.6580032606,61.0984367773,60.4237301135,61.0890658514,19846832,0.0,1.0
MSFT,2017-03-10 00:00:00+00:00,64.93,65.26,64.75,65.11,19538245,60.8454217784,61.1546623326,60.6767451124,61.0140984443,19538245,0.0,1.0
MSFT,2017-03-13 00:00:00+00:00,64.71,65.195,64.57,65.01,20100035,60.6392614089,61.0937513143,60.5080684465,60.9203891855,20100035,0.0,1.0
